OrderNumber,OrderDate,WarehouseCode,Sales Channel,StoreID,SalesTeamID,CustomerID,ProductID,Order_Quantity,Discount_Applied,Unit_Price,Unit_Cost
SO - 000101,5/31/2018,WARE-UHY1004,1,259,6,15,12,5,0.075,1963.10,1001.18
SO - 000102,5/31/2018,WARE-NMK1003,2,196,14,20,27,3,0.075,3939.60,3348.66
SO - 000103,5/31/2018,WARE-UHY1004,3,213,21,16,16,1,0.05,1775.50,781.22
SO - 000104,5/31/2018,WARE-NMK1003,4,107,28,48,23,8,0.075,2324.90,1464.69
SO - 000105,5/31/2018,WARE-NMK1003,3,111,22,49,26,8,0.1,1822.40,1476.14
SO - 000106,5/31/2018,WARE-PUJ1005,2,285,12,21,1,5,0.05,1038.50,446.56
SO - 000107,5/31/2018,WARE-XYS1001,1,6,10,14,5,4,0.15,1192.60,536.67
SO - 000108,5/31/2018,WARE-PUJ1005,1,280,6,9,46,5,0.05,1815.70,1525.19
SO - 000109,6/1/2018,WARE-PUJ1005,1,299,4,9,47,4,0.3,3879.30,2211.20
SO - 000110,6/1/2018,WARE-UHY1004,1,261,10,33,13,8,0.05,1956.40,1212.97
SO - 000111,6/1/2018,WARE-XYS1001,3,17,23,21,38,6,0.1,201.00,124.62
SO - 000112,6/1/2018,WARE-NMK1003,1,152,10,21,40,5,0.15,6277.90,2762.28
SO - 000113,6/1/2018,WARE-PUJ1005,1,317,4,36,39,5,0.05,1051.90,641.66
SO - 000114,6/1/2018,WARE-PUJ1005,1,291,8,17,32,6,0.15,254.60,216.41
SO - 000115,6/1/2018,WARE-NMK1003,1,138,9,32,6,6,0.15,3932.90,3146.32
SO - 000116,6/1/2018,WARE-MKL1006,1,354,5,11,25,3,0.05,1112.20,700.69
SO - 000117,6/1/2018,WARE-PUJ1005,1,320,9,10,6,3,0.075,1239.50,904.84
SO - 000118,6/1/2018,WARE-XYS1001,1,21,8,30,3,4,0.1,984.90,393.96
SO - 000119,6/1/2018,WARE-MKL1006,1,349,5,5,20,4,0.1,5581.10,4130.01
SO - 000120,6/1/2018,WARE-NMK1003,2,134,14,23,24,4,0.05,3095.40,1795.33
SO - 000121,6/1/2018,WARE-NMK1003,4,193,25,46,33,4,0.4,2278.00,1754.06
SO - 000122,6/2/2018,WARE-PUJ1005,1,282,2,14,1,7,0.075,991.60,654.46
SO - 000123,6/2/2018,WARE-XYS1001,1,20,7,40,35,2,0.2,3979.80,3064.45
SO - 000124,6/2/2018,WARE-UHY1004,3,218,24,19,15,3,0.4,1969.80,866.71
SO - 000125,6/2/2018,WARE-NMK1003,1,173,4,15,13,1,0.15,268.00,131.32
SO - 000126,6/2/2018,WARE-NMK1003,2,110,18,46,24,7,0.1,174.20,95.81
SO - 000127,6/2/2018,WARE-UHY1004,1,229,7,32,46,3,0.075,2988.20,2510.09
SO - 000128,6/2/2018,WARE-UHY1004,1,238,9,32,36,4,0.05,3999.90,2679.93
SO - 000129,6/2/2018,WARE-NMK1003,3,97,20,22,37,3,0.05,5976.40,2450.32
SO - 000130,6/2/2018,WARE-NMK1003,1,103,8,5,32,5,0.1,2901.10,2378.90
SO - 000131,6/3/2018,WARE-PUJ1005,1,305,8,29,23,7,0.075,6076.90,2734.61
SO - 000132,6/3/2018,WARE-PUJ1005,2,303,13,35,14,7,0.2,5735.20,4186.70
SO - 000133,6/3/2018,WARE-UHY1004,2,217,19,46,7,3,0.1,3919.50,2077.34
SO - 000134,6/3/2018,WARE-MKL1006,2,362,17,42,46,1,0.05,6083.60,3832.67
SO - 000135,6/3/2018,WARE-MKL1006,4,335,26,2,40,5,0.075,2566.10,1642.30
SO - 000136,6/3/2018,WARE-NBV1002,3,84,22,28,38,2,0.075,2278.00,1093.44
SO - 000137,6/3/2018,WARE-UHY1004,1,256,7,46,1,1,0.075,261.30,120.20
SO - 000138,6/3/2018,WARE-MKL1006,2,360,12,22,17,8,0.05,998.30,698.81
SO - 000139,6/3/2018,WARE-NMK1003,1,90,4,34,40,6,0.2,3497.40,1958.54
SO - 000140,6/3/2018,WARE-NMK1003,1,196,9,26,25,4,0.05,1132.30,486.89
SO - 000141,6/3/2018,WARE-XYS1001,1,40,7,26,2,7,0.05,2405.30,1587.50
SO - 000142,6/3/2018,WARE-MKL1006,3,367,24,24,3,8,0.05,5701.70,3249.97
SO - 000143,6/4/2018,WARE-UHY1004,3,249,25,18,34,1,0.2,2452.20,1446.80
SO - 000144,6/4/2018,WARE-XYS1001,1,6,11,21,11,3,0.05,3095.40,2012.01
SO - 000145,6/4/2018,WARE-UHY1004,2,212,15,14,8,4,0.4,3865.90,2164.90
SO - 000146,6/4/2018,WARE-XYS1001,3,37,23,3,11,8,0.1,2304.80,1382.88
SO - 000147,6/4/2018,WARE-XYS1001,2,38,17,13,35,3,0.05,3195.90,1470.11
SO - 000148,6/4/2018,WARE-PUJ1005,2,294,18,49,33,7,0.05,6452.10,5161.68
SO - 000149,6/5/2018,WARE-NMK1003,3,105,24,4,16,3,0.3,2003.30,921.52
SO - 000150,6/5/2018,WARE-XYS1001,3,17,23,20,8,8,0.05,3638.10,1455.24
SO - 000151,6/5/2018,WARE-NMK1003,1,109,4,19,44,3,0.075,2278.00,1822.40
SO - 000152,6/5/2018,WARE-NMK1003,2,141,16,25,22,6,0.3,924.60,582.50
SO - 000153,6/5/2018,WARE-NMK1003,2,111,19,8,16,5,0.05,3926.20,3062.44
SO - 000154,6/5/2018,WARE-MKL1006,3,349,23,24,25,4,0.075,3825.70,2257.16
SO - 000155,6/5/2018,WARE-MKL1006,4,360,27,13,4,3,0.05,2257.90,1377.32
