DATE,Unit Price
5/31/2018,"1,963.10"
5/31/2018,"3,939.60"
5/31/2018,"1,775.50"
5/31/2018,"2,324.90"
5/31/2018,"1,822.40"
5/31/2018,"1,038.50"
5/31/2018,"1,192.60"
5/31/2018,"1,815.70"
6/1/2018,"3,879.30"
6/1/2018,"1,956.40"
6/1/2018,201.00
6/1/2018,"6,277.90"
6/1/2018,"1,051.90"
6/1/2018,254.60
6/1/2018,"3,932.90"
6/1/2018,"1,112.20"
6/1/2018,"1,239.50"
6/1/2018,984.90
6/1/2018,"5,581.10"
6/1/2018,"3,095.40"
6/1/2018,"2,278.00"
6/2/2018,991.60
6/2/2018,"3,979.80"
6/2/2018,"1,969.80"
6/2/2018,268.00
6/2/2018,174.20
6/2/2018,"2,988.20"
6/2/2018,"3,999.90"
6/2/2018,"5,976.40"
6/2/2018,"2,901.10"
6/3/2018,"6,076.90"
6/3/2018,"5,735.20"
6/3/2018,"3,919.50"
6/3/2018,"6,083.60"
6/3/2018,"2,566.10"
6/3/2018,"2,278.00"
6/3/2018,261.30
6/3/2018,998.30
6/3/2018,"3,497.40"
6/3/2018,"1,132.30"
6/3/2018,"2,405.30"
6/3/2018,"5,701.70"
6/4/2018,"2,452.20"
6/4/2018,"3,095.40"
6/4/2018,"3,865.90"
6/4/2018,"2,304.80"
6/4/2018,"3,195.90"
6/4/2018,"6,452.10"
6/5/2018,"2,003.30"
6/5/2018,"3,638.10"
6/5/2018,"2,278.00"
6/5/2018,924.60
6/5/2018,"3,926.20"
6/5/2018,"3,825.70"
6/5/2018,"2,257.90"
6/6/2018,"1,112.20"
6/6/2018,"3,557.70"
6/6/2018,"2,371.80"
6/6/2018,857.60
6/7/2018,"3,892.70"
6/7/2018,"3,477.30"
6/7/2018,"3,738.60"
6/7/2018,"1,072.00"
6/7/2018,"2,257.90"
6/7/2018,"1,058.60"
6/7/2018,"2,492.40"
6/7/2018,"3,852.50"
6/8/2018,241.20
6/8/2018,"1,051.90"
6/8/2018,227.80
6/8/2018,"1,078.70"
6/8/2018,"1,005.00"
6/8/2018,"2,485.70"
6/8/2018,"2,659.90"
6/9/2018,"2,224.40"
6/9/2018,"2,472.30"
6/9/2018,"1,011.70"
6/9/2018,234.50
6/9/2018,261.30
6/9/2018,"4,006.60"
6/9/2018,"1,333.30"
6/10/2018,167.50
6/10/2018,"3,195.90"
6/10/2018,"1,051.90"
6/10/2018,"5,447.10"
6/10/2018,"3,182.50"
6/11/2018,891.10
6/11/2018,"3,892.70"
6/11/2018,"3,953.00"
6/11/2018,924.60
6/11/2018,"3,430.40"
6/11/2018,"1,152.40"
6/11/2018,"1,085.40"
6/12/2018,"5,031.70"
6/12/2018,"1,092.10"
6/12/2018,187.60
6/12/2018,"3,993.20"
6/12/2018,"2,472.30"
6/12/2018,"1,206.00"
6/12/2018,"1,728.60"
