Month,sales
1-Jan,1031.80
2-Jan,5869.20
3-Jan,1051.90
4-Jan,2304.80
5-Jan,5721.80
6-Jan,2465.60
7-Jan,1996.60
8-Jan,1031.80
9-Jan,6204.20
10-Jan,3999.90
11-Jan,3691.70
12-Jan,6083.60
13-Jan,5594.50
14-Jan,1065.30
15-Jan,6445.40
16-Jan,871.00
17-Jan,1098.80
18-Jan,978.20
19-Jan,2298.10
20-Jan,3899.40
21-Jan,3959.70
22-Jan,5641.40
23-Jan,3872.60
24-Jan,3772.10
25-Jan,1118.90
26-Jan,3879.30
27-Jan,1882.70
28-Jan,3852.50
29-Jan,2525.90
30-Jan,931.30
31-Jan,2840.80
1-Feb,1715.20
2-Feb,1092.10
3-Feb,2552.70
4-Feb,3752.00
5-Feb,911.20
6-Feb,1038.50
7-Feb,3718.50
8-Feb,2244.50
9-Feb,1788.90
10-Feb,844.20
11-Feb,1876.00
12-Feb,1125.60
13-Feb,676.70
14-Feb,5681.60
15-Feb,1159.10
16-Feb,797.30
17-Feb,1118.90
18-Feb,1876.00
19-Feb,978.20
20-Feb,6277.90
21-Feb,1005.00
22-Feb,964.80
23-Feb,1045.20
24-Feb,3946.30
25-Feb,1145.70
26-Feb,1775.50
27-Feb,917.90
28-Feb,1058.60
1-Mar,2968.10
2-Mar,2398.60
3-Mar,5272.90
4-Mar,1340.00
5-Mar,6070.20
6-Mar,1051.90
7-Mar,1072.00
8-Mar,1092.10
9-Mar,1165.80
10-Mar,991.60
11-Mar,3999.90
12-Mar,1815.70
13-Mar,1118.90
14-Mar,5594.50
15-Mar,3859.20
16-Mar,4013.30
17-Mar,911.20
18-Mar,958.10
19-Mar,268.00
20-Mar,3470.60
21-Mar,1045.20
22-Mar,5688.30
23-Mar,1788.90
24-Mar,978.20
25-Mar,1018.40
26-Mar,3953.00
27-Mar,2586.20
28-Mar,1031.80
29-Mar,3819.00
30-Mar,2425.40
31-Mar,1996.60
1-Apr,1795.60
2-Apr,2539.30
3-Apr,1038.50
4-Apr,1762.10
5-Apr,1058.60
6-Apr,234.50
7-Apr,2318.20
8-Apr,2753.70
9-Apr,3939.60
10-Apr,971.50
11-Apr,5205.90
12-Apr,1065.30
13-Apr,167.50
14-Apr,1681.70
15-Apr,1031.80
16-Apr,891.10
17-Apr,1105.50
18-Apr,2659.90
19-Apr,2512.50
20-Apr,1018.40
21-Apr,2653.20
22-Apr,201.00
23-Apr,3939.60
24-Apr,3691.70
25-Apr,2760.40
26-Apr,4020.00
27-Apr,227.80
28-Apr,5855.80
29-Apr,3926.20
30-Apr,1065.30
1-May,2211.00
2-May,1025.10
3-May,1165.80
4-May,844.20
5-May,3872.60
6-May,1259.60
7-May,2673.30
8-May,3993.20
9-May,214.40
10-May,2499.10
11-May,2854.20
12-May,2318.20
13-May,1936.30
14-May,1246.20
15-May,1688.40
16-May,201.00
17-May,6083.60
18-May,1943.00
19-May,884.40
20-May,964.80
21-May,1983.20
22-May,857.60
23-May,1025.10
24-May,984.90
25-May,3363.40
26-May,247.90
27-May,194.30
28-May,201.00
29-May,2338.30
30-May,2385.20
31-May,234.50
1-Jun,1031.80
2-Jun,2646.50
3-Jun,2405.30
4-Jun,234.50
5-Jun,6438.70
6-Jun,6170.70
7-Jun,6009.90
8-Jun,1038.50
9-Jun,5152.30
10-Jun,1051.90
11-Jun,4006.60
12-Jun,1949.70
13-Jun,1969.80
14-Jun,2452.20
15-Jun,2217.70
16-Jun,3953.00
17-Jun,864.30
18-Jun,2968.10
19-Jun,1025.10
20-Jun,1246.20
21-Jun,3859.20
22-Jun,3946.30
23-Jun,3919.50
24-Jun,3879.30
25-Jun,1098.80
26-Jun,2244.50
27-Jun,5272.90
28-Jun,6385.10
29-Jun,2345.00
30-Jun,3912.80
1-Jul,247.90
2-Jul,1031.80
3-Jul,214.40
4-Jul,1172.50
5-Jul,2720.20
6-Jul,1045.20
7-Jul,1139.00
8-Jul,2479.00
9-Jul,6411.90
10-Jul,2847.50
11-Jul,844.20
12-Jul,1829.10
13-Jul,3564.40
14-Jul,1788.90
15-Jul,864.30
16-Jul,3832.40
17-Jul,1688.40
18-Jul,207.70
19-Jul,1963.10
20-Jul,6117.10
21-Jul,750.40
22-Jul,1165.80
23-Jul,978.20
24-Jul,5226.00
25-Jul,797.30
26-Jul,737.00
27-Jul,951.40
28-Jul,3999.90
29-Jul,2532.60
30-Jul,1072.00
31-Jul,3919.50
1-Aug,5735.20
2-Aug,1038.50
3-Aug,1748.70
4-Aug,221.10
5-Aug,5976.40
6-Aug,1005.00
7-Aug,2505.80
8-Aug,1815.70
9-Aug,978.20
10-Aug,1078.70
11-Aug,247.90
12-Aug,1098.80
13-Aug,2613.00
14-Aug,971.50
15-Aug,958.10
16-Aug,837.50
17-Aug,241.20
18-Aug,790.60
19-Aug,857.60
20-Aug,3765.40
21-Aug,1098.80
22-Aug,3812.30
23-Aug,2331.60
24-Aug,2284.70
25-Aug,1072.00
26-Aug,2525.90
27-Aug,1192.60
28-Aug,3088.70
29-Aug,201.00
30-Aug,3932.90
31-Aug,234.50
1-Sep,5105.40
2-Sep,3825.70
3-Sep,187.60
4-Sep,1916.20
5-Sep,1065.30
6-Sep,2519.20
7-Sep,844.20
8-Sep,1748.70
9-Sep,1105.50
10-Sep,5969.70
11-Sep,4013.30
12-Sep,6559.30
13-Sep,723.60
14-Sep,1139.00
15-Sep,3376.80
16-Sep,1005.00
17-Sep,1112.20
18-Sep,4020.00
19-Sep,3932.90
20-Sep,174.20
21-Sep,1105.50
22-Sep,1125.60
23-Sep,5092.00
24-Sep,5219.30
25-Sep,2639.80
26-Sep,2378.50
27-Sep,1118.90
28-Sep,167.50
29-Sep,2659.90
30-Sep,978.20
1-Oct,1065.30
2-Oct,1038.50
3-Oct,3926.20
4-Oct,750.40
5-Oct,1145.70
6-Oct,2559.40
7-Oct,3852.50
8-Oct,1929.60
9-Oct,2284.70
10-Oct,2626.40
11-Oct,2251.20
12-Oct,201.00
13-Oct,1018.40
14-Oct,5380.10
15-Oct,6505.70
16-Oct,3819.00
17-Oct,2244.50
18-Oct,174.20
19-Oct,3979.80
20-Oct,1179.20
21-Oct,234.50
22-Oct,241.20
23-Oct,2633.10
24-Oct,3484.00
25-Oct,3892.70
26-Oct,1882.70
27-Oct,3966.40
28-Oct,2974.80
29-Oct,1085.40
30-Oct,1078.70
31-Oct,1125.60
1-Nov,1762.10
2-Nov,1795.60
3-Nov,234.50
4-Nov,2338.30
5-Nov,5674.90
6-Nov,1299.80
7-Nov,2519.20
8-Nov,1239.50
9-Nov,2385.20
10-Nov,3872.60
11-Nov,3879.30
12-Nov,1969.80
13-Nov,3859.20
14-Nov,5045.10
15-Nov,5339.90
16-Nov,2324.90
17-Nov,1072.00
18-Nov,1078.70
19-Nov,1078.70
20-Nov,1092.10
21-Nov,1721.90
22-Nov,1192.60
23-Nov,3792.20
24-Nov,3859.20
25-Nov,2532.60
26-Nov,777.20
27-Nov,1011.70
28-Nov,1065.30
29-Nov,1728.60
30-Nov,2418.70
1-Dec,978.20
2-Dec,1065.30
3-Dec,1728.60
4-Dec,1051.90
5-Dec,817.40
6-Dec,5051.80
7-Dec,2626.40
8-Dec,3973.10
9-Dec,1025.10
10-Dec,2532.60
11-Dec,1085.40
12-Dec,1788.90
13-Dec,6036.70
14-Dec,5802.20
15-Dec,991.60
16-Dec,1849.20
17-Dec,2244.50
18-Dec,2425.40
19-Dec,2425.40
20-Dec,884.40
21-Dec,3999.90
22-Dec,1139.00
23-Dec,194.30
24-Dec,254.60
25-Dec,1139.00
26-Dec,2673.30
27-Dec,770.50
28-Dec,3577.80
29-Dec,1802.30
30-Dec,3953.00
31-Dec,1038.50
